Number of Days with Rainfall > 20mm - (Days), Year, Model, Month, ISO3
-0.0641, 2020-2039, miroc_esm, Feb, IND
-0.0119, 2020-2039, miroc_esm, Mar, IND
0.03946, 2020-2039, miroc_esm, Apr, IND
-0.0029, 2020-2039, miroc_esm, May, IND
0.69277, 2020-2039, miroc_esm, Jun, IND
-0.6365, 2020-2039, miroc_esm, Jul, IND
0.0665, 2020-2039, miroc_esm, Aug, IND
0.20829, 2020-2039, miroc_esm, Sep, IND
-0.0457, 2020-2039, miroc_esm, Oct, IND
-0.0778, 2020-2039, miroc_esm, Nov, IND
0.04549, 2020-2039, miroc_esm, Dec, IND
-0.0299, 2020-2039, mpi_esm_lr, Jan, IND
-0.0659, 2020-2039, mpi_esm_lr, Feb, IND
0.00327, 2020-2039, mpi_esm_lr, Mar, IND
-0.0766, 2020-2039, mpi_esm_lr, Apr, IND
-0.0522, 2020-2039, mpi_esm_lr, May, IND
0.20839, 2020-2039, mpi_esm_lr, Jun, IND
-0.0728, 2020-2039, mpi_esm_lr, Jul, IND
0.13239, 2020-2039, mpi_esm_lr, Aug, IND
0.25767, 2020-2039, mpi_esm_lr, Sep, IND
0.13518, 2020-2039, mpi_esm_lr, Oct, IND
-0.0503, 2020-2039, mpi_esm_lr, Nov, IND
-0.0347, 2020-2039, mpi_esm_lr, Dec, IND
0.04156, 2020-2039, mpi_esm_mr, Jan, IND
-0.096, 2020-2039, mpi_esm_mr, Feb, IND
-0.0016, 2020-2039, mpi_esm_mr, Mar, IND
0.02797, 2020-2039, mpi_esm_mr, Apr, IND
-0.1724, 2020-2039, mpi_esm_mr, May, IND
-0.0454, 2020-2039, mpi_esm_mr, Jun, IND
0.08849, 2020-2039, mpi_esm_mr, Jul, IND
0.16772, 2020-2039, mpi_esm_mr, Aug, IND
0.33774, 2020-2039, mpi_esm_mr, Sep, IND
0.17223, 2020-2039, mpi_esm_mr, Oct, IND
0.07041, 2020-2039, mpi_esm_mr, Nov, IND
0.10448, 2020-2039, mpi_esm_mr, Dec, IND
0.01398, 2020-2039, mri_cgcm3, Jan, IND
0.02642, 2020-2039, mri_cgcm3, Feb, IND
-0.0189, 2020-2039, mri_cgcm3, Mar, IND
0.03818, 2020-2039, mri_cgcm3, Apr, IND
0.01358, 2020-2039, mri_cgcm3, May, IND
0.0286, 2020-2039, mri_cgcm3, Jun, IND
0.06857, 2020-2039, mri_cgcm3, Jul, IND
0.04064, 2020-2039, mri_cgcm3, Aug, IND
0.09137, 2020-2039, mri_cgcm3, Sep, IND
-0.0397, 2020-2039, mri_cgcm3, Oct, IND
0.02197, 2020-2039, mri_cgcm3, Nov, IND
